,timestamp,gender,age,language,EQ_score_raw,SQ_score_raw,EQ_score_std,SQ_score_std,D_score,E_score_raw,A_score_raw,E_score_std,A_score_std,EA_score,covid_1,covid_2,covid_3,covid_4,covid_5,covid_6,covid_7,covid_8,covid_9,covid_10,covid_11,covid_12,covid_13,covid_14,covid_15
38,2020/05/04 5:34:16 pm GMT+8,M,25,English,9.0,6.0,-0.021328671328671334,-0.04930069930069929,0.027972027972027955,7.75,3.0,0.98359015566668,-0.27598312887371274,1.2595732845403926,1.0,3.0,2.0,2.0,1,2.0,5.0,No,No,No,No,Yes,No,2.0,3.0
39,2020/05/04 6:14:56 pm GMT+8,M,23,English,8.0,11.0,-0.07132867132867134,0.2006993006993007,-0.272027972027972,4.75,4.0,-0.3616299132426734,0.16577906884359253,-0.527408982086266,2.0,1.0,3.0,1.0,1,2.0,5.0,Yes,Yes,Yes,No,Yes,No,2.0,3.0
40,2020/05/04 6:35:35 pm GMT+8,F,58,English,13.0,5.0,0.17867132867132868,-0.09930069930069929,0.27797202797202797,6.0,7.25,0.1988784488028905,1.6015062114248346,-1.402627762621944,2.0,3.0,2.0,1.0,4,2.0,4.0,Yes,Yes,Yes,No,Yes,Yes,2.0,3.0
41,2020/05/04 7:20:57 pm GMT+8,F,23,English,12.0,11.0,0.12867132867132866,0.2006993006993007,-0.07202797202797204,5.25,7.0,-0.13742656842444784,1.4910656619955083,-1.628492230419956,1.0,1.0,3.0,1.0,0,4.0,5.0,No,Yes,Yes,No,Yes,No,1.0,2.0
42,2020/05/04 7:40:38 pm GMT+8,F,44,English,15.0,5.0,0.27867132867132866,-0.09930069930069929,0.37797202797202795,4.25,1.5,-0.5858332580608989,-0.9386264254496706,0.35279316738877164,2.0,1.0,1.0,1.0,0,3.0,3.0,No,Yes,Yes,No,Yes,No,1.0,2.0
43,2020/05/04 8:26:01 pm GMT+8,M,21,English,2.0,4.0,-0.3713286713286713,-0.14930069930069928,-0.22202797202797203,6.75,3.5,0.5351834660302288,-0.055102030015060095,0.5902854960452889,2.0,2.0,1.0,1.0,0,1.0,3.0,Yes,Yes,Yes,No,Yes,Yes,2.0,3.0
44,2020/05/04 9:20:02 pm GMT+8,M,24,English,11.0,6.0,0.07867132867132867,-0.04930069930069929,0.12797202797202795,5.25,4.75,-0.13742656842444784,0.49710071713157145,-0.6345272855560193,2.0,1.0,3.0,1.0,1,1.0,4.0,No,No,Yes,No,No,No,1.0,3.0
45,2020/05/04 9:39:08 pm GMT+8,M,47,English,18.0,7.0,0.4286713286713287,0.000699300699300709,0.427972027972028,6.25,3.25,0.31098012121200325,-0.1655425794443864,0.4765227006563897,1.0,1.0,2.0,1.0,2,1.0,4.0,Yes,Yes,Yes,No,Yes,No,2.0,4.0
46,2020/05/05 12:25:08 am GMT+8,F,24,English,15.0,10.0,0.27867132867132866,0.1506993006993007,0.12797202797202795,5.0,0.25,-0.24952824083356062,-1.490829172596302,1.2413009317627415,1.0,1.0,1.0,1.0,0,1.0,1.0,No,No,No,Yes,Yes,No,1.0,1.0
47,2020/05/05 2:47:07 am GMT+8,F,50,English,15.0,10.0,0.27867132867132866,0.1506993006993007,0.12797202797202795,8.5,5.75,1.3198951728940183,0.9388629148488767,0.3810322580451415,1.0,2.0,3.0,1.0,0,3.0,5.0,Yes,Yes,Yes,No,Yes,No,3.0,4.0
48,2020/05/05 2:40:26 pm GMT+8,F,43,English,16.0,6.0,0.32867132867132864,-0.04930069930069929,0.37797202797202795,5.5,3.75,-0.025324896015335066,0.055338519414266214,-0.08066341542960129,1.0,1.0,2.0,1.0,1,1.0,5.0,No,Yes,Yes,No,Yes,No,4.0,4.0
49,2020/05/05 4:15:29 pm GMT+8,M,54,English,7.0,3.0,-0.12132867132867134,-0.1993006993006993,0.07797202797202796,1.25,0.75,-1.9310533269702523,-1.2699480737376496,-0.6611052532326027,1.0,1.0,1.0,1.0,3,2.0,4.0,No,Yes,Yes,No,Yes,No,2.0,2.0
50,2020/05/05 5:04:20 pm GMT+8,F,22,English,12.0,5.0,0.12867132867132866,-0.09930069930069929,0.22797202797202795,4.25,1.75,-0.5858332580608989,-0.8281858760203443,0.2423526179594454,1.0,1.0,1.0,1.0,0,1.0,4.0,No,Yes,Yes,No,Yes,No,1.0,1.0
