,timestamp,gender,age,language,EQ_score_raw,SQ_score_raw,EQ_score_std,SQ_score_std,D_score,E_score_raw,A_score_raw,E_score_std,A_score_std,EA_score,covid_1,covid_2,covid_3,covid_4,covid_5,covid_6,covid_7,covid_8,covid_9,covid_10,covid_11,covid_12,covid_13,covid_14,covid_15
47,2020/05/05 2:47:07 am GMT+8,F,50,English,4.0,6.0,-0.043006993006993,-0.06293706293706292,0.01993006993006992,8.5,5.75,1.3198951728940183,0.9388629148488767,0.3810322580451415,2.0,2.0,3.0,1.0,0,3.0,5.0,Yes,Yes,Yes,No,Yes,No,3.0,4.0
48,2020/05/05 2:40:26 pm GMT+8,F,43,English,4.0,6.0,-0.043006993006993,-0.06293706293706292,0.01993006993006992,5.5,3.75,-0.025324896015335066,0.055338519414266214,-0.08066341542960129,2.0,1.0,2.0,1.0,1-2,1.0,5.0,No,Yes,Yes,No,Yes,No,4.0,4.0
49,2020/05/05 4:15:29 pm GMT+8,M,54,English,1.0,9.0,-0.193006993006993,0.08706293706293708,-0.2800699300699301,1.25,0.75,-1.9310533269702523,-1.2699480737376496,-0.6611052532326027,2.0,1.0,1.0,1.0,5-10,2.0,4.0,No,Yes,Yes,No,Yes,No,2.0,2.0
50,2020/05/05 5:04:20 pm GMT+8,F,22,English,2.0,10.0,-0.143006993006993,0.1370629370629371,-0.2800699300699301,4.25,1.75,-0.5858332580608989,-0.8281858760203443,0.2423526179594454,2.0,1.0,1.0,1.0,0,1.0,4.0,No,Yes,Yes,No,Yes,No,1.0,1.0
51,2020/05/05 5:36:19 pm GMT+8,F,22,English,4.0,6.0,-0.043006993006993,-0.06293706293706292,0.01993006993006992,4.5,6.5,-0.4737315856517862,1.2701845631368556,-1.7439161487886419,1.0,2.0,3.0,2.0,1-2,2.0,3.0,Yes,Yes,Yes,Yes,Yes,No,2.0,2.0
52,2020/05/05 5:38:37 pm GMT+8,F,24,English,8.0,14.0,0.156993006993007,0.3370629370629371,-0.1800699300699301,7.0,4.5,0.6472851384393415,0.38666016770224515,0.2606249707370964,2.0,1.0,1.0,1.0,0,4.0,2.0,Yes,Yes,No,Yes,Yes,No,1.0,1.0
53,2020/05/05 5:43:15 pm GMT+8,F,18,English,5.0,6.0,0.006993006993007001,-0.06293706293706292,0.06993006993006992,6.25,1.25,0.31098012121200325,-1.049066974878997,1.3600470960910003,2.0,1.0,1.0,1.0,0,2.0,5.0,No,No,No,Yes,Yes,No,1.0,2.0
54,2020/05/05 5:44:43 pm GMT+8,F,22,English,3.0,8.0,-0.093006993006993,0.03706293706293708,-0.1300699300699301,6.25,6.5,0.31098012121200325,1.2701845631368556,-0.9592044419248523,1.0,1.0,1.0,2.0,1-2,1.0,1.0,No,No,No,Yes,Yes,No,1.0,3.0
55,2020/05/05 5:52:38 pm GMT+8,F,21,English,4.0,5.0,-0.043006993006993,-0.11293706293706292,0.06993006993006992,4.5,4.25,-0.4737315856517862,0.27621961827291885,-0.749951203924705,1.0,1.0,3.0,2.0,1-2,2.0,4.0,No,Yes,Yes,Yes,Yes,No,2.0,3.0
56,2020/05/05 5:52:47 pm GMT+8,F,54,English,2.0,8.0,-0.143006993006993,0.03706293706293708,-0.18006993006993008,7.25,-0.75,0.7593868108484544,-1.9325913703136075,2.691978181162062,2.0,1.0,1.0,1.0,0,2.0,5.0,No,Yes,Yes,No,Yes,No,1.0,2.0
57,2020/05/05 5:53:36 pm GMT+8,F,50,English,7.0,12.0,0.106993006993007,0.23706293706293707,-0.13006993006993006,1.0,0.0,-2.043154999379365,-1.6012697220256285,-0.4418852773537365,2.0,2.0,2.0,1.0,0,1.0,5.0,No,No,No,Yes,Yes,No,2.0,3.0
58,2020/05/05 5:57:46 pm GMT+8,M,23,English,6.0,9.0,0.056993006993007,0.08706293706293708,-0.030069930069930077,5.0,3.25,-0.24952824083356062,-0.1655425794443864,-0.08398566138917421,0.0,1.0,1.0,1.0,0,3.0,2.0,No,No,Yes,Yes,Yes,No,1.0,2.0
59,2020/05/05 7:19:45 pm GMT+8,F,22,English,4.0,6.0,-0.043006993006993,-0.06293706293706292,0.01993006993006992,4.5,6.5,-0.4737315856517862,1.2701845631368556,-1.7439161487886419,1.0,2.0,3.0,2.0,1-2,2.0,3.0,Yes,Yes,Yes,Yes,Yes,No,2.0,2.0
60,2020/05/05 8:41:02 pm GMT+8,F,22,English,3.0,7.0,-0.093006993006993,-0.012937062937062916,-0.08006993006993009,7.0,7.5,0.6472851384393415,1.711946760854161,-1.0646616224148193,2.0,1.0,1.0,1.0,0,1.0,4.0,No,Yes,Yes,Yes,Yes,No,2.0,3.0
61,2020/05/05 8:46:37 pm GMT+8,F,22,English,3.0,6.0,-0.093006993006993,-0.06293706293706292,-0.030069930069930084,3.5,4.25,-0.9221382752882373,0.27621961827291885,-1.1983578935611563,1.0,2.0,1.0,1.0,0,3.0,5.0,No,Yes,Yes,No,Yes,No,2.0,2.0
62,2020/05/05 11:05:50 pm GMT+8,F,56,English,4.0,7.0,-0.043006993006993,-0.012937062937062916,-0.03006993006993008,7.0,2.25,0.6472851384393415,-0.6073047771616916,1.2545899156010332,2.0,1.0,2.0,2.0,3-5,1.0,4.0,Yes,Yes,Yes,Yes,Yes,No,3.0,4.0
63,2020/05/05 11:15:12 pm GMT+8,F,31,English,5.0,8.0,0.006993006993007001,0.03706293706293708,-0.030069930069930084,7.0,6.0,0.6472851384393415,1.049303464278203,-0.40201832583886155,2.0,1.0,3.0,1.0,0,3.0,5.0,No,Yes,Yes,No,Yes,No,2.0,2.0
64,2020/05/06 2:17:44 am GMT+8,M,23,English,6.0,8.0,0.056993006993007,0.03706293706293708,0.01993006993006992,5.75,0.5,0.0867767763937777,-1.3803886231669757,1.4671653995607534,1.0,1.0,1.0,1.0,0,3.0,4.0,No,No,Yes,Yes,Yes,No,1.0,3.0
65,2020/05/06 2:49:43 am GMT+8,M,21,English,2.0,8.0,-0.143006993006993,0.03706293706293708,-0.18006993006993008,5.5,0.25,-0.025324896015335066,-1.490829172596302,1.465504276580967,2.0,3.0,2.0,1.0,0,3.0,3.0,Yes,Yes,Yes,Yes,Yes,No,2.0,3.0
66,2020/05/06 4:37:10 am GMT+8,M,28,English,7.0,6.0,0.106993006993007,-0.06293706293706292,0.16993006993006993,6.0,2.5,0.1988784488028905,-0.4968642277323653,0.6957426765352558,1.0,1.0,3.0,2.0,1-2,3.0,4.0,No,No,No,No,Yes,Yes,2.0,2.0
67,2020/05/06 4:38:13 am GMT+8,F,30,English,5.0,7.0,0.006993006993007001,-0.012937062937062916,0.01993006993006992,5.0,3.0,-0.24952824083356062,-0.27598312887371274,0.026454888040152114,1.0,1.0,2.0,1.0,1-2,2.0,4.0,No,Yes,Yes,No,Yes,No,3.0,3.0
68,2020/05/06 4:40:47 am GMT+8,F,30,English,5.0,7.0,0.006993006993007001,-0.012937062937062916,0.01993006993006992,-0.75,4.75,-2.8278667062431544,0.49710071713157145,-3.324967423374726,2.0,1.0,1.0,1.0,1-2,3.0,5.0,Yes,Yes,Yes,Yes,Yes,No,2.0,2.0
69,2020/05/06 4:42:02 am GMT+8,M,59,English,4.0,9.0,-0.043006993006993,0.08706293706293708,-0.13006993006993006,6.0,1.0,0.1988784488028905,-1.1595075243083233,1.3583859731112138,1.0,2.0,3.0,1.0,0,2.0,5.0,No,Yes,Yes,No,Yes,No,2.0,2.0
70,2020/05/06 4:46:09 am GMT+8,M,28,English,12.0,2.0,0.356993006993007,-0.2629370629370629,0.6199300699300699,6.25,2.25,0.31098012121200325,-0.6073047771616916,0.9182848983736949,0.0,2.0,3.0,1.0,0,3.0,5.0,No,No,No,Yes,Yes,No,2.0,3.0
